LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
C#;C++;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,ASP.NET CORE;Blazor;React,Docker;Kubernetes;npm;NuGet;Terraform;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;RabbitMQ,Back-End Developer,0
C;C++;Go;Nim;Perl;PHP;Python;Rust;SQL,FastAPI;Svelte,APT;Bun;Composer;Kubernetes;npm;Pacman;Pip;Podman;Vite,,System Administrator,3
Bash/Shell (all shells);Go,Flask,Docker;Kubernetes;Pip;Terraform,,Devops Specialist,6
Bash/Shell (all shells);Go;Lua;Python;SQL,FastAPI,Ansible;Homebrew;npm;Pip;Terraform,Ruff,Site Reliability Engineer,6
Java,,Homebrew;Kubernetes;Maven (build tool),RabbitMQ;Spring Framework,Back-End Developer,5
C#;HTML/CSS;JavaScript;Python;SQL,ASP.NET;ASP.NET CORE;jQuery;React,Gradle;npm;NuGet;Pip;pnpm;Visual Studio Solution;Vite;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Keras;NumPy;Scikit-Learn;TensorFlow,Full-Stack Developer,0
Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Objective-C;Swift,,Gradle;Homebrew;Make,SwiftUI;TensorFlow,Desktop Or Enterprise Applications Developer,1
HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;FastAPI;Node.js;React,Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Flutter;Pandas,Back-End Developer,3
C;C++;Python,,Chocolatey;Google Test;Ninja,CUDA;DirectX;NumPy;OpenCL;Opencv;OpenGL;Qt,Research & Development Role,6
Bash/Shell (all shells);C;Go;MicroPython;Python,,Docker;Pip,,Embedded Applications Or Devices Developer,1
Java;JavaScript;SQL;TypeScript,NestJS;Spring Boot,Gradle;Maven (build tool);npm;Terraform,,Back-End Developer,5
HTML/CSS;JavaScript;TypeScript,Express;Next.js;Node.js;React,Bun;Docker;npm;pnpm;Yarn,,Front-End Developer,2
HTML/CSS;Java;JavaScript;SQL,Vue.js,Ansible;Docker;Gradle;Kubernetes,,Back-End Developer,3
Assembly;Bash/Shell (all shells);C;C++;Fortran;Java;JavaScript;Lua;Objective-C;Perl;PHP;Python,Node.js,Ansible;Docker;Homebrew;Kubernetes;Make,Opencv;Pandas;Qt;SwiftUI,Qa Or Test Developer,3
C#;SQL,ASP.NET CORE,MSBuild;NuGet;Terraform;Visual Studio Solution,.NET (5+) ,Back-End Developer,0
Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React,Ansible;Ant;APT;Chocolatey;Docker;Google Test;Gradle;Homebrew;Make;Maven (build tool);Ninja;Nix;npm;NuGet;Pacman;Pip;pnpm;Podman;Terraform;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Keras;NumPy;Pandas;RabbitMQ;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Back-End Developer,0
C#;JavaScript;Kotlin;Python;TypeScript,Angular;Django;FastAPI;React,Ansible;Docker;Kubernetes;npm;NuGet;Pip;Webpack,.NET (5+) ;Pandas;RabbitMQ;Xamarin,Full-Stack Developer,3
HTML/CSS;JavaScript,,,,Designer,3
JavaScript,Node.js,Docker;Gradle;Homebrew;Make;npm;Yarn,React Native;SwiftUI,Front-End Developer,2
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Ruby;Scala;SQL,jQuery;Next.js;React;Ruby on Rails,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool),,Back-End Developer,3
Bash/Shell (all shells);C;C++;Python,,APT;Docker;Google Test;Make,OpenGL,Embedded Applications Or Devices Developer,1
Assembly;C#;C++;JavaScript;Python;SQL;VBA;Visual Basic (.Net),,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Hardware Engineer,0
Bash/Shell (all shells);C;C++;Go;Objective-C;PowerShell,,Ansible;APT;Docker;Homebrew;Make;Podman;Terraform,Qt,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Django;Express;Flask;Next.js;Node.js;React,APT;Chocolatey;Docker;Gradle;Homebrew;npm;Pip;Yarn,Flutter;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow,Mobile Developer,4
C;C#;C++;Julia;Python,,Ansible;Google Test;Kubernetes;Puppet,Apache Kafka;Keras;Qt;RabbitMQ,Devops Specialist,6
C;C++;Python,React,Ansible;Docker;npm,RabbitMQ,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;OCaml;Rust;SQL;TypeScript,Flask;React,Docker;Homebrew;Make;Nix,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Next.js;React,npm;NuGet,.NET (5+) ,Full-Stack Developer,3
C++;Delphi;Java;Lisp;MATLAB;Python;R;Swift;VBA,Node.js;WordPress,,NumPy;Pandas;SwiftUI;Tidyverse,Desktop Or Enterprise Applications Developer,1
HTML/CSS;JavaScript;TypeScript,NestJS;Next.js;Node.js;React,Docker;npm;Webpack;Yarn,,Front-End Developer,2
Bash/Shell (all shells);HTML/CSS;Python;SQL,FastAPI;Flask,Docker,Hugging Face Transformers;NumPy;Pandas;Torch/PyTorch,Ai Developer,3
C#;HTML/CSS;TypeScript,Angular;ASP.NET CORE,npm;NuGet,.NET (5+) ,Full-Stack Developer,3
C#;Go;JavaScript;Python;SQL;TypeScript,ASP.NET;React,Chocolatey;Docker;Homebrew;npm,.NET Framework (1.0 - 4.8);RabbitMQ,Full-Stack Developer,0
Java,React,Docker;Maven (build tool),Spring Framework,Back-End Developer,5
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,React,MSBuild;npm;NuGet;Webpack,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL;TypeScript,Angular;Node.js;React;Spring Boot,Chocolatey;Docker;Maven (build tool);Pip;Visual Studio Solution;Webpack,Apache Kafka;CUDA;OpenGL;Qt,Desktop Or Enterprise Applications Developer,1
HTML/CSS;JavaScript;PHP;Python;SQL,Laravel;WordPress,Composer;Docker;npm;Pip,Pandas,Full-Stack Developer,3
Bash/Shell (all shells);Go;Python,Django;Flask;Strapi,Docker;Homebrew;Kubernetes;Make;Pulumi;Terraform,,Devops Specialist,6
Python,Django,Ansible;Docker;Kubernetes;Make;Podman,Apache Kafka,Cloud Infrastructure Engineer,6
Java;SQL,,Maven (build tool),Apache Spark,Qa Or Test Developer,5
Assembly;Bash/Shell (all shells);C;C++;Python,,Ansible;Docker;Pip;Podman;Pulumi,,Security Professional,3
C#,,,.NET (5+) ,Desktop Or Enterprise Applications Developer,1
C;Go;Rust;SQL,,APT;Docker;Kubernetes;Make,,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;Visual Basic (.Net),Flask;Node.js;Vue.js,Docker;Make;npm;Pip;Vite,Electron;NumPy;Opencv,Research & Development Role,6
Swift,,Homebrew;Make,SwiftUI,Mobile Developer,4
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript,ASP.NET;ASP.NET CORE,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Back-End Developer,0
C,,Make,,Embedded Applications Or Devices Developer,1
C#;C++,,APT;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);DirectX;Hugging Face Transformers;Torch/PyTorch,Game Or Graphics Developer,0
HTML/CSS;JavaScript;Python;SQL,Django;Node.js,Docker;Pip,Electron;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Engineering Manager,6
C#;SQL,ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ,Back-End Developer,0
Bash/Shell (all shells);Go;Python;Rust;SQL;TypeScript,Node.js,Docker;Homebrew;Kubernetes;Make;Nix;npm;Pacman;Pip;pnpm;Terraform;Yarn,Apache Kafka,Back-End Developer,3
Bash/Shell (all shells);Go;Python,,Ansible;Chocolatey;Docker;Kubernetes;Make;Ninja;Pip;Terraform,CUDA;Hugging Face Transformers;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Devops Specialist,6
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;Swift;TypeScript,ASP.NET;ASP.NET CORE;React;Ruby on Rails,Docker,.NET (5+) ,Full-Stack Developer,3
Bash/Shell (all shells);JavaScript;Python;SQL,Angular;Django;React,Docker;Pip,,Engineering Manager,6
Groovy;JavaScript;SQL,Spring Boot,Docker;Gradle,Spring Framework,Full-Stack Developer,5
JavaScript;Python;TypeScript,,npm,,Front-End Developer,2
C#;PowerShell,ASP.NET CORE,MSBuild;Visual Studio Solution,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);JavaScript;Python;Scala;TypeScript,Node.js,Docker;Homebrew;Yarn,,Back-End Developer,3
Bash/Shell (all shells);C#;PowerShell;SQL;TypeScript,,Chocolatey,.NET (5+) ,Database Administrator,3
Java;JavaScript;Rust,jQuery,Maven (build tool),,Full-Stack Developer,5
Python;SQL,,Docker;Homebrew;Kubernetes;Terraform,NumPy;Pandas,Data Engineer,6
Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lua;Nim;Perl;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript;Zig,Angular;Deno;Django;Express;FastAPI;Flask;Gatsby;jQuery;Next.js;Node.js;React;Spring Boot;Svelte,Ansible;APT;Docker;Gradle;Kubernetes;Make;Ninja;Nix;npm;Pacman;Podman;Webpack;Yarn,Apache Spark;Electron;Flutter;GTK;NumPy;OpenGL;Pandas;Spring Framework,Full-Stack Developer,3
Ruby;Scala;SQL,Elm;Ruby on Rails,Ansible;Terraform,,Back-End Developer,3
Dart;Go,Nuxt.js;Vue.js,npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Django;FastAPI;NestJS;Next.js;Node.js;React;Remix;Spring Boot,Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Make;npm;Pip;pnpm,RabbitMQ;React Native;Spring Framework;SwiftUI,Full-Stack Developer,3
C#,,MSBuild,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Java;JavaScript;Python;SQL,Angular;AngularJS,Ansible;Ant;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Yarn,RabbitMQ;Spring Framework,Back-End Developer,3
Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Express;Next.js,APT;Chocolatey;Make;Pacman,,Full-Stack Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL,Django;jQuery;Symfony,Docker;Pip,React Native;TensorFlow,Full-Stack Developer,3
Dart,Next.js;React,npm,Flutter,Mobile Developer,4
Go;HTML/CSS;PHP,Laravel;Vue.js;Yii 2,Composer;Docker;Homebrew;Kubernetes;Make,Apache Kafka;RabbitMQ,Back-End Developer,3
HTML/CSS;JavaScript;TypeScript,Express;Node.js;React,Homebrew;pnpm;Webpack;Yarn,React Native,Full-Stack Developer,3
Go;SQL,,Docker;Kubernetes,,Back-End Developer,3
JavaScript;PHP;SQL;TypeScript,Angular;AngularJS;Laravel,Composer;npm,.NET (5+) ,Data Or Business Analyst,6
HTML/CSS;JavaScript;SQL;TypeScript,Next.js;Node.js;React;Remix,Docker;Homebrew;npm;Vite,,Full-Stack Developer,3
C++;Python,,Gradle;Ninja,Qt,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,FastAPI;jQuery;Laravel;Node.js;Vue.js;WordPress,Composer;Docker;npm;Pip;pnpm;Vite;Webpack;Yarn,,Full-Stack Developer,3
C#;Go;JavaScript;SQL;TypeScript,Angular;ASP.NET,Docker;NuGet;Visual Studio Solution,.NET (5+) ,Back-End Developer,0
C++,,,,Hardware Engineer,6
Bash/Shell (all shells);Go;Java;JavaScript;Rust;SQL;TypeScript,AngularJS;Node.js;Spring Boot,Docker;Maven (build tool);npm;Pacman;Webpack,Quarkus,Full-Stack Developer,5
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript,FastAPI;Laravel;Svelte,Composer;Docker;Gradle;npm;Pip;Podman;Vite,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;SQL;TypeScript,Next.js;Node.js;React;WordPress,Docker;npm;Yarn,React Native,Full-Stack Developer,3
Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,,Ansible;APT;Docker;Homebrew;Kubernetes;npm;Pacman;Pip;Terraform,,Cloud Infrastructure Engineer,6
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Angular;Django;Node.js;Spring Boot;Svelte,APT;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Vite,Apache Kafka,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,jQuery,Docker,,Back-End Developer,3
Bash/Shell (all shells);Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;Ruby;Scala;SQL;TypeScript,Node.js;Phoenix;React;Ruby on Rails;Spring Boot,Ant;Dagger;Docker;Gradle;Homebrew;Maven (build tool);npm;Pip;Vite;Webpack;Yarn,Apache Spark;NumPy;Scikit-Learn;Spring Framework,Full-Stack Developer,5
HTML/CSS;JavaScript;Python;SQL;TypeScript,Astro;FastAPI;Flask;Next.js;Node.js;React,Bun;Docker;npm;pnpm;Vite;Webpack,NumPy;Pandas;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C++;Python,ASP.NET CORE,Docker;Google Test;Make;Nix;Podman,,Back-End Developer,3
C#;Go;PowerShell;Python;SQL,ASP.NET;ASP.NET CORE,Docker;Kubernetes;MSBuild;Terraform;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Data Engineer,0
Go,React,Docker;Kubernetes;Make;npm;Terraform,RabbitMQ,Back-End Developer,3
C;C++;Go;HTML/CSS;JavaScript;Lisp;Python;R;SQL,Angular;AngularJS;Deno;Node.js;Vue.js,Docker;Homebrew;Kubernetes;Make;Vite;Yarn,NumPy;Pandas;TensorFlow,Back-End Developer,3
HTML/CSS;JavaScript;Rust;SQL;TypeScript,Deno;FastAPI,Docker;npm,Tauri;TensorFlow,Full-Stack Developer,3
C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift;Visual Basic (.Net),jQuery;Laravel;WordPress,Dagger;Gradle,Cordova;Hadoop;Ionic;MFC;Qt,Mobile Developer,4
C++;Python,,,,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);Java,,Maven (build tool),,Devops Specialist,5
C;HTML/CSS,AngularJS;Express;FastAPI;Next.js;Node.js;React,Homebrew;Make;npm,,Full-Stack Developer,3
C;C++;Python,,Maven (build tool);MSBuild;Visual Studio Solution,OpenGL;Qt,Desktop Or Enterprise Applications Developer,1
Elixir;Java;Ruby;Scala;SQL,React,Homebrew,Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);Go;Groovy;Python,Flask,APT;Docker;Gradle;Homebrew;Make;npm;Pip;Podman;Terraform,,Devops Specialist,6
Assembly;Bash/Shell (all shells);C;HTML/CSS;Perl;Python,,Pip,,Embedded Applications Or Devices Developer,1
C;C++;Dart;HTML/CSS;JavaScript;TypeScript,Svelte,APT;Docker;Kubernetes;npm;Vite,Flutter,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Gatsby;Next.js;Node.js;React,Docker;Homebrew;npm,,Designer,3
Java;JavaScript;Kotlin,React;Spring Boot,Ansible;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm,Apache Kafka;RabbitMQ;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);C;C++;Java;Kotlin;Python,,Ansible;APT;Make;Ninja;Pacman;Podman;Terraform,GTK;Qt,Embedded Applications Or Devices Developer,1
C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,ASP.NET CORE;Express;Next.js;Node.js;React,Docker;npm;NuGet;Pip,.NET (5+) ;NumPy;Torch/PyTorch,Back-End Developer,3
Bash/Shell (all shells);Groovy;Python,,Ansible;Docker;Gradle;Kubernetes;Maven (build tool);Podman;Terraform,,Devops Specialist,6
Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PowerShell,Flask;React;WordPress,Docker;npm;Pacman;Pip;Yarn,Electron;Flutter,Front-End Developer,2
C;C++;Dart;Java;JavaScript;PHP;SQL,CodeIgniter;jQuery;Laravel;Node.js;WordPress,Docker;Unity 3D;Visual Studio Solution,Flutter,"Senior Executive (C-Suite, Vp, Etc.)",6
Java;JavaScript;SQL,Spring Boot,Gradle,Spring Framework,Back-End Developer,5
Assembly;C#;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,ASP.NET CORE;FastAPI;Flask;jQuery;Node.js;React;WordPress,Chocolatey;Docker;MSBuild;Pip;Terraform;Visual Studio Solution,.NET (5+) ;.NET MAUI;NumPy;RabbitMQ;Roslyn,Full-Stack Developer,0
HTML/CSS;JavaScript,NestJS;Next.js;Node.js;React;Svelte,Docker;npm,NumPy;Pandas;Scikit-Learn;TensorFlow,Data Scientist Or Machine Learning Specialist,6
C;C#;C++;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Swift,Htmx;React,Chocolatey;Dagger;Docker;Godot;Gradle;Homebrew;Make;Maven (build tool);npm;Pip;Unity 3D;Yarn,Capacitor;Ktor;OpenGL;Pandas;React Native;SwiftUI,Mobile Developer,4
Groovy;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Angular;AngularJS;jQuery,Docker;Gradle;npm,Spring Framework,Full-Stack Developer,5
C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,NestJS;Next.js;Node.js;React,Docker;Homebrew;npm;Pacman;Vite;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Groovy;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,Spring Boot;Vue.js,Gradle;Maven (build tool),Spring Framework,Back-End Developer,5
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Laravel;Next.js;React,Docker;npm;Pip;Vite;Yarn,Ktor;React Native,Full-Stack Developer,3
,,,,Developer Experience,3
Python;Rust;Scala,FastAPI;React,Docker;Homebrew;Kubernetes;Nix;Pulumi;Terraform,NumPy;Pandas,Back-End Developer,3
C;C++;Dart;HTML/CSS;JavaScript;Python;SQL,Django;NestJS;React,Docker,Flutter;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;FastAPI;jQuery;React,Docker;MSBuild;npm;NuGet;Pip;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Hugging Face Transformers;Opencv;RabbitMQ,Full-Stack Developer,0
JavaScript;PHP;TypeScript,Express;Laravel;NestJS;Node.js;Nuxt.js;React;Vue.js,Docker;npm;Vite;Webpack;Yarn,React Native,Full-Stack Developer,3
Python,Flask,,Apache Spark;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Research & Development Role,6
C;C#;Go;Java;PHP,ASP.NET CORE,Docker;Kubernetes;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Roslyn,Research & Development Role,0
C;C#;C++;Clojure;Dart;Elixir;Erlang;GDScript;Go;Haskell;HTML/CSS;JavaScript;OCaml;Python;Rust;Scala;SQL;Swift;TypeScript;Zig,Blazor;Deno;Express;Gatsby;NestJS;Next.js;Node.js;React;Svelte,Bun;Docker;Godot;Gradle;Kubernetes;Nix;npm;NuGet;Pip;Podman;Unity 3D;Unreal Engine;Visual Studio Solution;Vite;Webpack,.NET (5+) ;Apache Kafka;CUDA;DirectX;Electron;Flutter;Hugging Face Transformers;Keras;NumPy;OpenGL;React Native;Roslyn;Scikit-Learn;Torch/PyTorch,Full-Stack Developer,3
C#;PowerShell;SQL,,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C#;JavaScript;TypeScript,,MSBuild;Visual Studio Solution,.NET (5+) ;.NET MAUI;Xamarin,Mobile Developer,0
JavaScript;TypeScript,Express;Node.js,Docker;Homebrew;npm;Unity 3D,,Qa Or Test Developer,3
JavaScript;Swift,,,,Mobile Developer,4
HTML/CSS;JavaScript;PHP;Python,Django;Express;jQuery;Next.js;React,Docker;npm,,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL,WordPress,,,Front-End Developer,2
HTML/CSS;JavaScript;TypeScript,Angular;Express;Node.js,npm,,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Angular;AngularJS;Node.js,Docker;npm;Webpack;Yarn,,Front-End Developer,2
Bash/Shell (all shells);C;C#;C++;Haskell;JavaScript;Python;Rust;TypeScript,Django;Next.js,Docker;Google Test;Make;Pacman;Unity 3D,CUDA;Hugging Face Transformers;NumPy;Pandas;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL,ASP.NET CORE;Blazor;Express;Node.js;Vue.js;WordPress,Chocolatey;Composer;Docker;Gradle;MSBuild;npm;Pip;pnpm;Vite;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Capacitor;Cordova;Flutter;Ionic;RabbitMQ;TensorFlow,"Senior Executive (C-Suite, Vp, Etc.)",0
HTML/CSS;JavaScript;SQL;TypeScript,Express;Node.js;React;Svelte;Vue.js,npm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);C#;Elixir;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,Angular;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Phoenix;Solid.js,Chocolatey;Docker;MSBuild;NuGet;Pacman;Pip;pnpm;Podman;Visual Studio Solution;Vite,.NET (5+) ;Roslyn,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Julia;Python;SQL;TypeScript,Django;FastAPI;Flask;Node.js;React,APT;Bun;Chocolatey;Docker;Maven (build tool);npm;Pacman;Pip,Opencv;RabbitMQ,"Senior Executive (C-Suite, Vp, Etc.)",6
Dart;HTML/CSS;Java;JavaScript;SQL;Swift;TypeScript,Node.js;Nuxt.js;Vue.js,Docker;npm;Vite,Flutter;SwiftUI,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Node.js;React;Ruby on Rails,Docker;Homebrew;npm;pnpm;Webpack,,Front-End Developer,2
C#;PowerShell,ASP.NET;ASP.NET CORE,Chocolatey;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Back-End Developer,0
Bash/Shell (all shells);Java,,Docker;Gradle;Maven (build tool),Spring Framework,Back-End Developer,5
HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA,Node.js;React,Ansible;APT;Chef;Chocolatey;Composer;npm,Apache Kafka,Devops Specialist,6
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Fastify;Node.js;React,Homebrew;npm;Pulumi;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);Fortran;MATLAB;Python;SQL,,Pip,CUDA;NumPy;Pandas;Qt;Ruff,Scientist,6
C;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,Next.js;React,Homebrew;npm;Pip;Vite,,Front-End Developer,2
Bash/Shell (all shells);C++;JavaScript;Python;Scala,Express;Node.js,Docker;Pip,Apache Kafka,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),AngularJS;jQuery;Laravel;Node.js;Symfony;Vue.js;WordPress,Ansible;Composer;Docker;Kubernetes;Maven (build tool);Puppet,.NET (5+) ,Full-Stack Developer,3
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL,FastAPI;Flask,Docker;Visual Studio Solution,,Desktop Or Enterprise Applications Developer,1
HTML/CSS;Java;JavaScript;PHP;PowerShell;Solidity;SQL;Visual Basic (.Net),Yii 2,Composer;Docker;npm,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C;C++;Dart;HTML/CSS;JavaScript;Kotlin;Python,FastAPI,,Flutter,Embedded Applications Or Devices Developer,1
HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;Node.js;React,APT;Docker;npm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Python;SQL,Django;Node.js;Vue.js,Ansible;Docker;npm;Pip;Unity 3D;Unreal Engine,,Devops Specialist,6
Groovy;Java;Kotlin;Python;SQL,WordPress,Dagger;Gradle;npm,,Mobile Developer,4
C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery;Node.js;React,npm;NuGet,.NET (5+) ;.NET MAUI,Full-Stack Developer,0
Java;JavaScript;Python,Angular;Express;FastAPI;Node.js,Docker;Homebrew;Make;Maven (build tool),Apache Kafka;Apache Spark;NumPy,Data Engineer,6
Dart;HTML/CSS;JavaScript;SQL,Angular;Express;jQuery;Next.js;Node.js;React,npm;Yarn,Flutter,Full-Stack Developer,3
C#;HTML/CSS;TypeScript,Angular;ASP.NET CORE,MSBuild;npm;NuGet,.NET (5+) ;Roslyn,Full-Stack Developer,3
Bash/Shell (all shells);Java;Python;Scala,,Docker;Homebrew;Kubernetes;Yarn,Apache Kafka;Apache Spark;Hadoop;Scikit-Learn;Spring Framework,Engineering Manager,6
Java;Kotlin;Objective-C;Swift,,Gradle,,Mobile Developer,4
Python;SQL,Django;FastAPI;Flask;Gatsby,Docker;Kubernetes;Pip;Terraform,Apache Spark;NumPy;Pandas;RabbitMQ;Scikit-Learn,Data Engineer,6
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript,Drupal;Play Framework;React;Spring Boot,Composer;Docker;Maven (build tool);npm;Webpack,Apache Kafka;Quarkus;Spring Framework,Full-Stack Developer,5
Dart,Express;React,npm;Unreal Engine,Flutter;Keras;TensorFlow,Mobile Developer,4
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Angular;Htmx;Node.js;React;Vue.js,Docker;Gradle;Kubernetes;Maven (build tool);npm;Podman;Vite,Spring Framework,Full-Stack Developer,5
